,Neighborhood,Niche URL,Niche Price,Population (2010),NPU,2014 Count,2015 Count,2016 Count,2017 Count,2018 Count
101,Garden Hills,https://www.niche.com/places-to-live/n/garden-hills-atlanta-ga/,"$597,268 ","3,939",B,127.0,113.0,110.0,133.0,150.0
102,Georgia Tech,https://www.niche.com/places-to-live/n/georgia-tech-atlanta-ga/,"$90,531 ","6,607",E,8.0,5.0,4.0,2.0,5.0
103,Glenrose Heights,https://www.niche.com/places-to-live/n/glenrose-heights-atlanta-ga/,"$61,798 ","4,071",Z,384.0,308.0,277.0,212.0,156.0
104,Grant Park,https://www.niche.com/places-to-live/n/grant-park-atlanta-ga/,"$273,434 ","6,771",W,526.0,424.0,441.0,352.0,355.0
105,Green Acres Valley,https://www.niche.com/places-to-live/n/green-acres-valley-atlanta-ga/,"$108,400 ",,,6.0,10.0,5.0,5.0,2.0
106,Green Forest Acres,https://www.niche.com/places-to-live/n/green-forest-acres-atlanta-ga/,"$109,612 ",,,33.0,27.0,15.0,7.0,6.0
107,Greenbriar,https://www.niche.com/places-to-live/n/greenbriar-atlanta-ga/,"$102,121 ","3,628",R,522.0,416.0,522.0,427.0,373.0
108,Greenbriar Village,https://www.niche.com/places-to-live/n/greenbriar-village-atlanta-ga/,"$127,800 ",,,5.0,9.0,9.0,10.0,4.0
109,Grove Park,https://www.niche.com/places-to-live/n/grove-park-atlanta-ga/,"$86,278 ","4,929",J,436.0,423.0,397.0,329.0,332.0
110,Hammond Park,https://www.niche.com/places-to-live/n/hammond-park-atlanta-ga/,"$73,450 ","2,565",X,287.0,240.0,200.0,171.0,146.0
111,Hanover West,https://www.niche.com/places-to-live/n/hanover-west-atlanta-ga/,"$256,159 ",,,4.0,3.0,7.0,5.0,4.0
112,Harland Terrace,https://www.niche.com/places-to-live/n/harland-terrace-atlanta-ga/,"$43,343 ","2,138",I,267.0,279.0,202.0,219.0,177.0
113,Harris Chiles,https://www.niche.com/places-to-live/n/harris-chiles-atlanta-ga/,"$93,662 ",765,T,96.0,101.0,73.0,65.0,63.0
114,Harvel Homes Community,https://www.niche.com/places-to-live/n/harvel-homes-community-atlanta-ga/,"$51,500 ",,,4.0,6.0,10.0,5.0,5.0
115,Heritage Valley,https://www.niche.com/places-to-live/n/heritage-valley-atlanta-ga/,"$111,700 ",910,P,15.0,35.0,34.0,19.0,21.0
116,High Point,https://www.niche.com/places-to-live/n/high-point-atlanta-ga/,"$179,200 ",,,21.0,8.0,6.0,18.0,15.0
117,Hills Park,https://www.niche.com/places-to-live/n/hills-park-atlanta-ga/,"$267,747 ",953,D,40.0,64.0,88.0,101.0,81.0
118,Home Park,https://www.niche.com/places-to-live/n/home-park-atlanta-ga/,"$208,821 ","4,941",E,448.0,386.0,461.0,429.0,410.0
119,Horseshoe Community,https://www.niche.com/places-to-live/n/horseshoe-community-atlanta-ga/,"$116,300 ",,,1.0,3.0,3.0,2.0,2.0
120,Hunter Hills,https://www.niche.com/places-to-live/n/hunter-hills-atlanta-ga/,"$34,308 ","2,223",K,146.0,144.0,195.0,138.0,127.0
121,Huntington,https://www.niche.com/places-to-live/n/huntington-atlanta-ga/,"$214,000 ",,,4.0,4.0,3.0,3.0,3.0
122,Inman Park,https://www.niche.com/places-to-live/n/inman-park-atlanta-ga/,"$452,641 ","4,098",N,403.0,398.0,426.0,362.0,331.0
123,Ivan Hill,https://www.niche.com/places-to-live/n/ivan-hill-atlanta-ga/,"$78,278 ",,,4.0,11.0,8.0,11.0,3.0
124,Joyland,https://www.niche.com/places-to-live/n/joyland-atlanta-ga/,"$179,200 ",639,Y,87.0,57.0,44.0,36.0,39.0
125,Just Us,https://www.niche.com/places-to-live/n/just-us-atlanta-ga/,"$65,000 ",,,3.0,8.0,9.0,1.0,5.0
126,Kings Forest,https://www.niche.com/places-to-live/n/kings-forest-atlanta-ga/,"$108,700 ","1,674",P,75.0,98.0,70.0,60.0,47.0
127,Kingswood,https://www.niche.com/places-to-live/n/kingswood-atlanta-ga/,"$1,297,300 ",660,A,5.0,7.0,7.0,2.0,9.0
128,Kirkwood,https://www.niche.com/places-to-live/n/kirkwood-atlanta-ga/,"$278,370 ","5,897",O,274.0,207.0,173.0,161.0,122.0
129,Knight Park/Howell Station,https://www.niche.com/places-to-live/n/knight-park-howell-station-atlanta-ga/,"$67,617 ","2,545",K,36.0,38.0,41.0,37.0,23.0
130,Lake Claire,https://www.niche.com/places-to-live/n/lake-claire-atlanta-ga/,"$488,797 ","2,557",N,58.0,70.0,37.0,52.0,47.0
131,Lake Estates,https://www.niche.com/places-to-live/n/lake-estates-atlanta-ga/,"$214,000 ",,,1.0,2.0,4.0,1.0,2.0
132,Lakewood,https://www.niche.com/places-to-live/n/lakewood-atlanta-ga/,"$71,132 ","1,333",Z,44.0,64.0,67.0,47.0,41.0
133,Lakewood Heights,https://www.niche.com/places-to-live/n/lakewood-heights-atlanta-ga/,"$93,352 ","2,177",Y,298.0,264.0,287.0,317.0,259.0
134,Laurens Valley,https://www.niche.com/places-to-live/n/laurens-valley-atlanta-ga/,"$135,400 ",,,13.0,10.0,12.0,5.0,6.0
