Neighborhood,Niche URL,Niche Price
Ridgewood Heights,https://www.niche.com/places-to-live/n/ridgewood-heights-atlanta-ga/,"$306,200"
Boulevard Heights,https://www.niche.com/places-to-live/n/boulevard-heights-atlanta-ga/,"$160,200"
Peyton Forest,https://www.niche.com/places-to-live/n/peyton-forest-atlanta-ga/,"$118,800"
Whittier Mill Village,https://www.niche.com/places-to-live/n/whittier-mill-village-atlanta-ga/,"$313,100"
Oakland,https://www.niche.com/places-to-live/n/oakland-atlanta-ga/,"$149,000"
South Tuxedo Park,https://www.niche.com/places-to-live/n/south-tuxedo-park-atlanta-ga/,"$746,800"
Fairburn Mays,https://www.niche.com/places-to-live/n/fairburn-mays-atlanta-ga/,"$76,299"
Mellwood,https://www.niche.com/places-to-live/n/mellwood-atlanta-ga/,"$63,500"
Fairburn Tell,https://www.niche.com/places-to-live/n/fairburn-tell-atlanta-ga/,"$214,000"
Bankhead/Bolton,https://www.niche.com/places-to-live/n/bankhead-bolton-atlanta-ga/,$777
Sandlewood Estates,https://www.niche.com/places-to-live/n/sandlewood-estates-atlanta-ga/,"$127,800"
Channing Valley,https://www.niche.com/places-to-live/n/channing-valley-atlanta-ga/,"$595,200"
Mays,https://www.niche.com/places-to-live/n/mays-atlanta-ga/,"$108,400"
Polar Rock,https://www.niche.com/places-to-live/n/polar-rock-atlanta-ga/,"$82,400"
Collier Hills,https://www.niche.com/places-to-live/n/collier-hills-atlanta-ga/,"$586,439"
Peachtree Park,https://www.niche.com/places-to-live/n/peachtree-park-atlanta-ga/,"$437,202"
East Chastain Park,https://www.niche.com/places-to-live/n/east-chastain-park-atlanta-ga/,"$540,685"
Rockdale,https://www.niche.com/places-to-live/n/rockdale-atlanta-ga/,"$227,500"
Ardmore,https://www.niche.com/places-to-live/n/ardmore-atlanta-ga/,"$356,635"
Fort Valley,https://www.niche.com/places-to-live/n/fort-valley-atlanta-ga/,"$51,100"
Peachtree Heights East,https://www.niche.com/places-to-live/n/peachtree-heights-east-atlanta-ga/,"$551,820"
Heritage Valley,https://www.niche.com/places-to-live/n/heritage-valley-atlanta-ga/,"$111,700"
Leila Valley,https://www.niche.com/places-to-live/n/leila-valley-atlanta-ga/,"$62,752"
Capitol Gateway,https://www.niche.com/places-to-live/n/capitol-gateway-atlanta-ga/,"$45,904"
Randall Mill,https://www.niche.com/places-to-live/n/randall-mill-atlanta-ga/,"$1,297,300"
Brookhaven,https://www.niche.com/places-to-live/n/brookhaven-atlanta-ga/,"$494,238"
Kings Forest,https://www.niche.com/places-to-live/n/kings-forest-atlanta-ga/,"$108,700"
Bakers Ferry,https://www.niche.com/places-to-live/n/bakers-ferry-atlanta-ga/,"$78,200"
